number,name,form,classification,type-1,type-2,ability-1,ability-2,ability-hidden,predecessors,successors,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Colosseum,XD,Diamond,Pearl,Platinum,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu!,Let's Go Eevee!,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends Arceus,Scarlet,Violet
818,Inteleon,,,Water,,Torrent,,Sniper,817,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,—,—,—,ED,ED
819,Skwovet,,,Normal,,Cheek Pouch,,Gluttony,,820,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
820,Greedent,,,Normal,,Cheek Pouch,,Gluttony,819,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
821,Rookidee,,,Flying,,Keen Eye,Unnerve,Big Pecks,,822,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
822,Corvisquire,,,Flying,,Keen Eye,Unnerve,Big Pecks,821,823,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
823,Corviknight,,,Flying,Steel,Pressure,Unnerve,Mirror Armor,822,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
824,Blipbug,,,Bug,,Swarm,Compound Eyes,Telepathy,,825,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
825,Dottler,,,Bug,Psychic,Swarm,Compound Eyes,Telepathy,824,826,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
826,Orbeetle,,,Bug,Psychic,Swarm,Frisk,Telepathy,825,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
827,Nickit,,,Dark,,Run Away,Unburden,Stakeout,,828,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
828,Thievul,,,Dark,,Run Away,Unburden,Stakeout,827,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
829,Gossifleur,,,Grass,,Cotton Down,Regenerator,Effect Spore,,830,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
830,Eldegoss,,,Grass,,Cotton Down,Regenerator,Effect Spore,829,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
831,Wooloo,,,Normal,,Fluffy,Run Away,Bulletproof,,832,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
832,Dubwool,,,Normal,,Fluffy,Steadfast,Bulletproof,831,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
833,Chewtle,,,Water,,Strong Jaw,Shell Armor,Swift Swim,,834,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
834,Drednaw,,,Water,Rock,Strong Jaw,Shell Armor,Swift Swim,833,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
835,Yamper,,,Electric,,Ball Fetch,,Rattled,,836,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
836,Boltund,,,Electric,,Strong Jaw,,Competitive,835,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
837,Rolycoly,,,Rock,,Steam Engine,Heatproof,Flash Fire,,838,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
838,Carkol,,,Rock,Fire,Steam Engine,Flame Body,Flash Fire,837,839,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
839,Coalossal,,,Rock,Fire,Steam Engine,Flame Body,Flash Fire,838,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
840,Applin,,,Grass,Dragon,Ripen,Gluttony,Bulletproof,,"841,842,1011",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
841,Flapple,,,Grass,Dragon,Ripen,Gluttony,Hustle,840,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,T,—,—,—,C,C
842,Appletun,,,Grass,Dragon,Ripen,Gluttony,Thick Fat,840,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,D,—,—,—,C,C
843,Silicobra,,,Ground,,Sand Spit,Shed Skin,Sand Veil,,844,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
844,Sandaconda,,,Ground,,Sand Spit,Shed Skin,Sand Veil,843,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
845a,Cramorant,Normal,,Flying,Water,Gulp Missle,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,CD,CCD
845b,Cramorant,Gulping Form,,Flying,Water,Gulp Missle,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,CD,CCD
845c,Cramorant,Gorging Form,,Flying,Water,Gulp Missle,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,CD,CCD
846,Arrokuda,,,Water,,Swift Swim,,Propeller Tail,,847,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
847,Barraskewda,,,Water,,Swift Swim,,Propeller Tail,846,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
848,Toxel,,,Electric,Poison,Rattled,Static,Klutz,,"849a,849b",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
849a,Toxtricity,Amped Form,,Electric,Poison,Punk Rock,Plus,Technician,848,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,C,C
849b,Toxtricity,Low Key Form,,Electric,Poison,Punk Rock,Minus,Technician,848,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,C,C
850,Sizzlipede,,,Fire,Bug,Flash Fire,White Smoke,Flame Body,,851,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
851,Centiskorch,,,Fire,Bug,Flash Fire,White Smoke,Flame Body,850,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,—,—
852,Clobbopus,,,Fighting,,Limber,,Technician,,853,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
853,Grapploct,,,Fighting,,Limber,,Technician,852,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
854a,Sinistea,Phony Form,,Ghost,,Weak Armor,,Cursed Body,,855a,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
854b,Sinistea,Antique Form,,Ghost,,Weak Armor,,Cursed Body,,855b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
855a,Polteageist,Phony Form,,Ghost,,Weak Armor,,Cursed Body,854a,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
855b,Polteageist,Antique Form,,Ghost,,Weak Armor,,Cursed Body,854b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
856,Hatenna,,,Psychic,,Healer,Anticipation,Magic Bounce,,857,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
857,Hattrem,,,Psychic,,Healer,Anticipation,Magic Bounce,856,858,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
858,Hatterene,,,Psychic,Fairy,Healer,Anticipation,Magic Bounce,857,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
859,Impidimp,,,Dark,Fairy,Prankster,Frisk,Pickpocket,,860,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
860,Morgrem,,,Dark,Fairy,Prankster,Frisk,Pickpocket,859,861,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
861,Grimmsnarl,,,Dark,Fairy,Prankster,Frisk,Pickpocket,860,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,C,C
862,Obstagoon,,,Dark,Normal,Reckless,Guts,Defiant,264b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,—,—
863,Perrserker,,,Steel,,Battle Armor,Tough Claws,Steely Spirit,52c,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,E,E
864,Cursola,,,Ghost,,Weak Armor,,Perish Body,222b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,D,—,—,—,—,—
865,Sirfetch'd,,,Fighting,,Steadfast,,Scrappy,83b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,T,—,—,—,—,—
866,Mr. Rime,,,Ice,Psychic,Tangled Feet,Screen Cleaner,Ice Body,122b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,—,—
867,Runerigus,,,Ground,Ghost,Wandering Spirit,,,562b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,—,—
868,Milcery,,,Fairy,,Sweet Veil,,Aroma Veil,,"869a,869b,869c,869d,869e,869f,869g,869h,869i,869j,869k,869l,869m,869n,869o,869p,869q,869r,869s,869t,869u,869v,869w,869x,869y,869z,869aa,869ab,869ac,869ad,869ae,869af,869ag,869ah,869ai,869aj,869ak,869al,869am,869an,869ao,869ap,869aq,869ar,869as,869at,869au,869av,869aw,869ax,869ay,869az,869ba,869bb,869bc,869bd,869be,869bf,869bg,869bh,869bi,869bj,869bk",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,CD,CD
869a,Alcremie,Vanilla Cream - Strawberry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869b,Alcremie,Vanilla Cream - Berry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869c,Alcremie,Vanilla Cream - Love,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869d,Alcremie,Vanilla Cream - Star,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869e,Alcremie,Vanilla Cream - Clover,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869f,Alcremie,Vanilla Cream - Flower,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869g,Alcremie,Vanilla Cream - Ribbon,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869h,Alcremie,Ruby Cream - Strawberry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869i,Alcremie,Ruby Cream - Berry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869j,Alcremie,Ruby Cream - Love,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869k,Alcremie,Ruby Cream - Star,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869l,Alcremie,Ruby Cream - Clover,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869m,Alcremie,Ruby Cream - Flower,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869n,Alcremie,Ruby Cream - Ribbon,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869o,Alcremie,Matcha Cream - Strawberry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869p,Alcremie,Matcha Cream - Berry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869q,Alcremie,Matcha Cream - Love,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869r,Alcremie,Matcha Cream - Star,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869s,Alcremie,Matcha Cream - Clover,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869t,Alcremie,Matcha Cream - Flower,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869u,Alcremie,Matcha Cream - Ribbon,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869v,Alcremie,Mint Cream - Strawberry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869w,Alcremie,Mint Cream - Berry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869x,Alcremie,Mint Cream - Love,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869y,Alcremie,Mint Cream - Star,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869z,Alcremie,Mint Cream - Clover,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869aa,Alcremie,Mint Cream - Flower,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ab,Alcremie,Mint Cream - Ribbon,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ac,Alcremie,Lemon Cream - Strawberry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ad,Alcremie,Lemon Cream - Berry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ae,Alcremie,Lemon Cream - Love,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869af,Alcremie,Lemon Cream - Star,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ag,Alcremie,Lemon Cream - Clover,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ah,Alcremie,Lemon Cream - Flower,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ai,Alcremie,Lemon Cream - Ribbon,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869aj,Alcremie,Salted Cream - Strawberry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ak,Alcremie,Salted Cream - Berry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869al,Alcremie,Salted Cream - Love,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869am,Alcremie,Salted Cream - Star,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869an,Alcremie,Salted Cream - Clover,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ao,Alcremie,Salted Cream - Flower,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ap,Alcremie,Salted Cream - Ribbon,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869aq,Alcremie,Ruby Swirl - Strawberry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ar,Alcremie,Ruby Swirl - Berry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869as,Alcremie,Ruby Swirl - Love,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869at,Alcremie,Ruby Swirl - Star,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869au,Alcremie,Ruby Swirl - Clover,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869av,Alcremie,Ruby Swirl - Flower,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869aw,Alcremie,Ruby Swirl - Ribbon,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ax,Alcremie,Caramel Swirl - Strawberry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869ay,Alcremie,Caramel Swirl - Berry,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
869az,Alcremie,Caramel Swirl - Love,,Fairy,,Sweet Veil,,Aroma Veil,868,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,D,D,—,—,—,CD,CD
